               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.033687,            0.015163,           0.0013003,             0.85287,              0.7527,             0.81337,             0.51793,             0.03237,            0.006843,           0.0033241,            0.007822,            0.007822,            0.007822
                  68,            0.033544,            0.015066,           0.0012055,             0.80882,             0.76379,              0.7977,             0.51207,            0.032757,           0.0071757,           0.0030874,            0.007789,            0.007789,            0.007789
                  69,            0.033019,            0.014902,           0.0012462,             0.80736,             0.75114,             0.78362,             0.50028,            0.033609,           0.0071556,            0.003107,            0.007756,            0.007756,            0.007756
                  70,            0.033972,            0.015218,           0.0012006,             0.82249,             0.76156,             0.80317,             0.50637,            0.033077,           0.0070849,           0.0032948,            0.007723,            0.007723,            0.007723
                  71,            0.033606,            0.015036,           0.0017273,             0.81815,             0.74655,             0.78651,             0.47836,            0.032968,           0.0072435,           0.0027107,             0.00769,             0.00769,             0.00769
                  72,            0.033811,            0.015231,           0.0013998,             0.83219,             0.75277,             0.79593,             0.50323,            0.033828,           0.0071248,             0.00254,            0.007657,            0.007657,            0.007657
                  73,            0.033272,            0.015063,           0.0011782,              0.8448,             0.71667,             0.78816,             0.48764,            0.034782,           0.0072418,            0.002963,            0.007624,            0.007624,            0.007624
                  74,            0.032871,            0.014739,           0.0012209,             0.82797,             0.77546,             0.82163,             0.51158,            0.033248,           0.0069881,             0.00301,            0.007591,            0.007591,            0.007591
                  75,            0.033089,            0.014947,           0.0013905,             0.82563,             0.76493,             0.80067,             0.51405,            0.032687,           0.0071711,           0.0028479,            0.007558,            0.007558,            0.007558
                  76,            0.032244,            0.014473,           0.0011374,             0.85708,              0.7698,             0.82211,             0.51936,            0.033388,           0.0069387,           0.0029826,            0.007525,            0.007525,            0.007525
                  77,            0.033212,            0.014901,           0.0013789,              0.8047,             0.73834,              0.7787,             0.48008,            0.034462,           0.0071175,           0.0033583,            0.007492,            0.007492,            0.007492
                  78,            0.032835,            0.014774,           0.0010732,             0.86185,             0.76142,             0.81824,             0.52092,            0.032672,           0.0070002,           0.0031228,            0.007459,            0.007459,            0.007459
                  79,            0.032413,             0.01441,           0.0010709,              0.8172,             0.74726,             0.78427,             0.50136,            0.032584,           0.0072206,           0.0033171,            0.007426,            0.007426,            0.007426
                  80,            0.032287,            0.014705,            0.001079,             0.81943,             0.77076,             0.80465,             0.51736,             0.03301,           0.0069289,           0.0031185,            0.007393,            0.007393,            0.007393
                  81,            0.032429,            0.014345,           0.0011543,             0.84169,             0.75917,             0.81126,             0.51881,            0.033154,           0.0071401,           0.0026149,             0.00736,             0.00736,             0.00736
                  82,            0.032441,            0.014512,          0.00099632,             0.83155,             0.75543,             0.79833,             0.50946,            0.033254,           0.0070414,           0.0032275,            0.007327,            0.007327,            0.007327
                  83,            0.031541,             0.01459,          0.00097508,             0.84392,             0.75722,             0.80752,              0.5123,            0.032254,           0.0069941,           0.0026732,            0.007294,            0.007294,            0.007294
                  84,            0.031757,            0.014704,           0.0012665,             0.81549,             0.77034,             0.79274,             0.51099,            0.032712,           0.0071362,           0.0033752,            0.007261,            0.007261,            0.007261
                  85,            0.031945,            0.014354,           0.0011692,             0.82234,             0.76116,             0.79942,             0.50919,            0.032792,            0.006941,           0.0026122,            0.007228,            0.007228,            0.007228
                  86,            0.031528,             0.01459,           0.0011253,             0.84938,             0.77431,              0.8211,             0.52557,            0.032511,           0.0069365,           0.0028243,            0.007195,            0.007195,            0.007195
                  87,            0.031073,            0.014098,           0.0010233,             0.83756,             0.78211,             0.81199,               0.528,            0.032333,           0.0068914,           0.0030779,            0.007162,            0.007162,            0.007162
                  88,            0.031585,            0.014289,           0.0012746,             0.80701,             0.76135,             0.79605,             0.50458,            0.032731,           0.0072802,           0.0030858,            0.007129,            0.007129,            0.007129
                  89,            0.030951,            0.014203,          0.00091678,              0.8642,             0.76684,             0.81421,             0.53119,            0.032469,           0.0070356,           0.0030619,            0.007096,            0.007096,            0.007096
                  90,            0.031127,            0.014205,          0.00088934,              0.8432,             0.77819,             0.82011,             0.52683,             0.03264,           0.0069221,           0.0029349,            0.007063,            0.007063,            0.007063
                  91,            0.030336,            0.014082,          0.00094201,             0.85466,             0.76839,             0.81026,             0.51905,            0.032833,           0.0070696,           0.0026638,             0.00703,             0.00703,             0.00703
                  92,            0.031098,            0.013841,          0.00098307,             0.84881,             0.75118,             0.80402,             0.52164,            0.032774,           0.0070489,           0.0028624,            0.006997,            0.006997,            0.006997
                  93,            0.031129,            0.014063,           0.0013048,             0.84211,             0.76198,             0.80774,             0.51951,             0.03279,           0.0070314,           0.0032714,            0.006964,            0.006964,            0.006964
                  94,            0.030898,            0.014288,           0.0010855,             0.84355,             0.78708,             0.82442,             0.53538,            0.032372,           0.0068571,           0.0029115,            0.006931,            0.006931,            0.006931
                  95,            0.030849,            0.014291,          0.00085336,             0.84756,             0.76335,             0.80916,             0.52316,            0.033264,            0.006998,           0.0035239,            0.006898,            0.006898,            0.006898
                  96,            0.029844,            0.014156,          0.00094268,             0.86512,             0.77855,             0.82278,             0.53548,            0.032939,           0.0068806,           0.0033148,            0.006865,            0.006865,            0.006865
                  97,            0.030634,            0.014136,          0.00084037,             0.84343,             0.77478,             0.80924,             0.51769,             0.03232,           0.0069483,           0.0029402,            0.006832,            0.006832,            0.006832
                  98,            0.030455,            0.013891,          0.00086562,             0.87052,             0.76522,             0.82417,             0.53048,            0.032721,           0.0067884,           0.0033481,            0.006799,            0.006799,            0.006799
                  99,            0.030006,            0.013793,          0.00082882,             0.84917,             0.78504,             0.81451,             0.53093,            0.032491,           0.0069076,           0.0033493,            0.006766,            0.006766,            0.006766
                 100,            0.029956,            0.014013,          0.00071893,             0.81758,             0.79285,             0.80685,             0.53002,            0.032154,            0.006967,            0.003799,            0.006733,            0.006733,            0.006733
